id,category_id,variant_id,speaker_id,speaker_sex,variant_type,word,vector
A_001_11,1,11,1,F,low,apple,-260.01489501968285 -348.2326747638758 -355.35351949198673 -431.70923532534545 189.2527761277367 184.73931935158637 186.9940824983137 183.99643109792692 -56.63023328510731 -22.61934155194748 10.226053791631394 52.386080593559 17.76086277761111 13.154888930503699 48.33069412933413 40.333976584884994 -29.85769494133959 -14.96760155028273 -41.49179425608061 -45.161548973309095 7.52127665581269 8.080808221625908 -18.60259401288565 -43.23092640123659 -14.865581666708666 1.296561439403653 20.408072566463787 9.143504755940311
A_001_12,1,12,1,F,low,apple,-240.90019346410094 -353.6199710027949 -382.95985526349864 -435.20948556941954 200.5091043230342 206.57518857019227 212.42465768696997 209.28339774918706 -64.22765809290478 -38.480573078999356 4.60606639117762 55.16093654055443 15.194612519572011 -7.325937251206986 27.3847644785063 43.05254423269663 -39.6973505286765 -17.490535476490212 -32.015912444008855 -40.47291448733053 7.034278422445868 -7.790728012855144 -29.124554415177904 -46.1128584713923 -15.180199949042661 -4.362371564074163 27.226645948727693 25.256388495934008
A_001_13,1,13,1,F,low,apple,-233.0302875262207 -345.33317073242586 -394.1587700984071 -442.3559404218261 192.21989875091992 200.90420025506762 215.13067381859958 198.05674552465302 -62.22406008896901 -30.59987967675314 28.20803154854121 59.31963690667733 17.83343915349365 -1.76653248391351 24.09498668008474 30.140326184256352 -34.91270519156413 -13.319074703015453 -23.15669718231488 -34.93643005784252 5.069397330779122 -4.834704704695119 -17.455899933553045 -32.35850954781883 -24.470050762234933 -0.9140112079413032 31.038985704647928 18.24320925977194
A_001_14,1,14,1,F,low,apple,-243.98286406791115 -349.9134302920983 -372.52861480920467 -476.97926701020924 180.96414590143723 172.80419623008197 193.85656044951008 197.54053318093463 -59.68015142719305 -29.021129821173304 14.588531036995642 66.75854717136235 20.61987565200552 20.023468158232205 40.48959724308989 27.21338236224649 -38.97331270386613 -25.48684298009412 -48.103033378502666 -42.515257000134746 9.397382772625555 4.866524081291451 -24.532016205317817 -48.951019802453985 -29.34759007983498 -8.948744984845916 10.540458549197439 1.0517206975726348
A_001_15,1,15,1,F,low,apple,-246.92950685406464 -332.7203338032313 -381.17345597913845 -424.14458736525717 175.1842946605181 184.15850727059853 189.10195714303177 176.28064638424365 -46.28222011719002 -5.44536054452829 60.79436701740987 77.90436476893915 4.792492814826729 -8.371984824926919 33.507703309076945 43.374533072576995 -53.41952548659881 -44.32427569913345 -50.49299126051599 -42.44006330584336 1.480493617770311 -0.08499568400738527 -8.394391745109548 -32.59828875167041 -5.820648788272889 9.769760869388996 34.30500833849874 16.30735673150966
A_001_16,1,16,1,F,low,apple,-244.63733572507095 -362.65105387731666 -410.51377731702837 -457.98290767744015 177.74084774875377 201.1503323531573 212.04540905308295 192.53308631191993 -49.9657434551757 -10.208790245864728 48.34700381434559 64.81689121392608 15.838353089326331 3.7969656051825593 40.20006687930601 37.46074845802389 -57.03320971700353 -35.60869453161101 -50.92587782085825 -50.717493559031084 15.581819051827267 -0.655007861162668 -29.646520288096674 -37.647473745205446 -7.986837877583361 17.62186780515657 45.14962471432547 27.551827528668873
A_001_17,1,17,1,F,low,apple,-245.7579466618155 -342.0344391588758 -367.5878787116984 -455.8859915951163 173.91393348306616 169.45685744807994 191.75493674305065 180.7912332942123 -42.31979760896526 -16.219078406508743 34.806371811869525 73.32625268412869 11.166378799098464 15.666626515661186 52.54483787053174 42.654366789965714 -44.75176345892113 -35.24891668442817 -38.751685173087616 -31.877824321726536 11.239543323097719 1.4125497833351275 -29.893946364568336 -49.774080699429824 -20.57442623902325 2.8844703404871384 17.98856546139985 2.1100833865364326
A_001_18,1,18,1,F,low,apple,-240.81617753394394 -317.6225722976851 -327.7185951654181 -408.3376448404019 166.55889019480418 166.28829414696298 187.14466987006847 164.46909793577484 -46.06296701581705 -19.261949609577286 25.765705132802488 64.74959139137596 11.575839196610028 8.253760001570825 34.90050681222553 38.000844593025654 -20.62334913742601 -12.844348804526005 -32.3370953303581 -28.260795532578 4.795516312886544 -6.613019971845107 -34.82491462369363 -46.534853875427515 -23.108169487751752 -10.414973240902242 5.2854177142883865 -8.012008995530792
A_001_19,1,19,1,F,low,apple,-219.91785490157957 -340.39470248132454 -354.6384534975862 -414.0841554863167 184.10412017425284 200.48873727588975 218.31905411901403 201.05545387799282 -57.15031181309736 -19.047735933882244 29.32812086005406 54.777196480181686 6.553963261116305 -4.477450115465405 26.274296041814072 13.764850156058671 -49.63401605748939 -27.31402335776558 -48.91518312895677 -54.1622305066477 10.022030030828507 -6.782262176416609 -25.639733172060374 -33.54182715693155 -11.774318025651446 3.918958347619668 12.539956703899803 -1.7673879884926191
A_001_20,1,20,1,F,low,apple,-286.4822644511425 -369.6518128696006 -458.23610255004735 -556.5858218135363 186.51794916997255 190.34416474495276 137.76764744316688 44.5019136599673 -9.715575175979215 57.04940023730797 70.40171042873041 32.28222784970569 -4.806665479127268 20.345107300906385 24.960694574837923 18.412034363344723 -31.473360351043738 -38.09189139863827 -24.1737861709548 8.010328214982572 5.320956547240204 -19.847225541916114 -21.93098165976648 4.1991638615810345 -6.351384234032212 19.02296708307385 0.4302877298615827 5.607765449130282
